id,district,area,year,rainfall,irrigation,total_irrigation,seed_required,seed_available,fertilizer,pesticides,production,total_cost
1,Bandarban,590,2009,2395,3,30,318.6,30.872,0.207,290.67,2112,21120
2,Bandarban,685,2010,2482,3,24,369.9,35.843,0.215,276.765,2286,22860
3,Bandarban,368,2011,2086,3,14,198.72,19.256,0.234,235.07,1321,13210
4,Bandarban,505,2012,3543,2,14,272.7,26.425,0.265,227.999,2053,20530
5,Bandarban,688,2013,2874,2,14,371.52,36,0.247,254.012,2501,25010
6,Bandarban,781,2014,2985,2,14,421.74,40.867,0.283,213.866,2996,29960
7,Bandarban,810,2015,2709,2,14,437.4,42.384,0.226,189.606,3110,31100
8,Bandarban,762,2016,3194,4,18,411.48,39.872,0.273,695.221,2847,28470
9,Bandarban,856,2017,2885,4,20,462.24,44.791,0.245,946.584,3874,38740
10,Bandarban,900,2018,2488,4,22,486,47.093,0.248,1122.322,4125,41250
11,Chittagong,7413,2009,3461,11,396,4003.02,387.893,0.266,290.67,38471,384710
12,Chittagong,7427,2010,2405,11,407,4010.58,388.625,0.278,276.765,37681,376810
13,Chittagong,7394,2011,3101,11,408,3992.76,386.898,0.245,235.07,32179,321790
14,Chittagong,8535,2012,3643,11,269,4608.9,446.602,0.236,227.999,43306,433060
15,Chittagong,7306,2013,2561,11,269,3945.24,382.294,0.289,254.012,36634,366340
16,Chittagong,7359,2014,3450,10,266,3973.86,385.067,0.237,213.866,36446,364460
17,Chittagong,9583,2015,3713,10,268,5174.82,501.44,0.285,189.606,53617,536170
18,Chittagong,8314,2016,2274,10,274,4489.56,435.038,0.254,695.221,42578,425780
19,Chittagong,7857,2017,3817,10,254,4242.78,411.125,0.289,946.584,37845,378450
20,Chittagong,9432,2018,3942,12,287,5093.28,493.539,0.269,1122.322,52475,524750
21,Cox's Bazar,1253,2009,3283,1,152,676.62,65.564,0.208,290.67,6328,63280
22,Cox's Bazar,1226,2010,3438,1,148,662.04,64.152,0.215,276.765,6340,63400
23,Cox's Bazar,978,2011,4440,1,150,528.12,51.175,0.236,235.07,3660,36600
24,Cox's Bazar,901,2012,4123,1,153,486.54,47.146,0.258,227.999,3252,32520
25,Cox's Bazar,1888,2013,4059,2,153,1019.52,98.791,0.253,254.012,6758,67580
26,Cox's Bazar,1940,2014,2483,2,144,1047.6,101.512,0.237,213.866,7656,76560
27,Cox's Bazar,1946,2015,4716,2,147,1050.84,101.826,0.258,189.606,7687,76870
28,Cox's Bazar,1593,2016,3297,2,161,860.22,83.355,0.261,695.221,6412,64120
29,Cox's Bazar,1968,2017,3951,3,165,1062.72,102.978,0.211,946.584,8127,81270
30,Cox's Bazar,2125,2018,4125,3,163,1147.5,111.193,0.274,1122.322,8743,87430
31,Comilla,296,2009,1824,35,943,159.84,15.488,0.276,290.67,1033,10330
32,Comilla,227,2010,1578,35,957,122.58,11.878,0.227,276.765,699,6990
33,Comilla,150,2011,1884,33,948,81,7.849,0.253,235.07,503,5030
34,Comilla,244,2012,1929,17,450,131.76,12.768,0.264,227.999,738,7380
35,Comilla,204,2013,1643,20,451,110.16,10.675,0.249,254.012,668,6680
36,Comilla,199,2014,1635,21,452,107.46,10.413,0.276,213.866,739,7390
37,Comilla,210,2015,2155,22,454,113.4,10.988,0.242,189.606,776,7760
38,Comilla,244,2016,2174,25,547,131.76,12.768,0.269,695.221,749,7490
39,Comilla,267,2017,3179,27,584,144.18,13.971,0.289,946.584,987,9870
40,Comilla,285,2018,3248,32,928,153.9,14.913,0.27,1122.322,994,9940
41,Brahmanbaria,1089,2009,2874,1,264,588.06,56.983,0.224,290.67,2206,22060
42,Brahmanbaria,1600,2010,2985,1,262,864,83.722,0.253,276.765,3216,32160
43,Brahmanbaria,864,2011,2709,1,260,466.56,45.21,0.276,235.07,2001,20010
44,Brahmanbaria,1779,2012,3194,1,264,960.66,93.088,0.265,227.999,5616,56160
45,Brahmanbaria,1717,2013,2885,1,268,927.18,89.844,0.265,254.012,5803,58030
46,Brahmanbaria,1023,2014,2488,1,273,552.42,53.529,0.226,213.866,3768,37680
47,Brahmanbaria,684,2015,2510,1,285,369.36,35.791,0.275,189.606,2515,25150
48,Brahmanbaria,1582,2016,3099,2,290,854.28,82.78,0.22,695.221,4751,47510
49,Brahmanbaria,1723,2017,3091,2,294,930.42,90.158,0.215,946.584,5878,58780
50,Brahmanbaria,1845,2018,4476,2,297,996.3,96.541,0.223,1122.322,6741,67410
51,Khagrachari,698,2009,3171,1,51,376.92,36.524,0.232,290.67,2748,27480
52,Khagrachari,720,2010,2658,1,56,388.8,37.675,0.253,276.765,2969,29690
53,Khagrachari,740,2011,2702,2,55,399.6,38.721,0.23,235.07,2345,23450
54,Khagrachari,962,2012,3894,1,57,519.48,50.338,0.28,227.999,3174,31740
55,Khagrachari,1032,2013,4677,2,58,557.28,54,0.235,254.012,3428,34280
56,Khagrachari,980,2014,4203,2,50,529.2,51.279,0.213,213.866,3650,36500
57,Khagrachari,836,2015,2960,2,61,451.44,43.745,0.267,189.606,2874,28740
58,Khagrachari,894,2016,4253,1,56,482.76,46.779,0.211,695.221,3147,31470
59,Khagrachari,1045,2017,2925,3,63,564.3,54.681,0.25,946.584,3541,35410
60,Khagrachari,975,2018,4108,2,48,526.5,51.018,0.283,1122.322,2898,28980
61,Rangamati,629,2009,2395,1,25,339.66,32.913,0.224,290.67,2416,24160
62,Rangamati,641,2010,2673,1,26,346.14,33.541,0.212,276.765,2241,22410
63,Rangamati,615,2011,2361,1,27,332.1,32.18,0.222,235.07,2180,21800
64,Rangamati,761,2012,2817,1,29,410.94,39.82,0.271,227.999,3166,31660
65,Rangamati,689,2013,1950,1,27,372.06,36.053,0.254,254.012,2520,25200
66,Rangamati,765,2014,1923,1,27,413.1,40.029,0.259,213.866,2800,28000
67,Rangamati,617,2015,3342,1,29,333.18,32.285,0.246,189.606,2627,26270
68,Rangamati,784,2016,2032,1,28,423.36,41.024,0.263,695.221,2943,29430
69,Rangamati,646,2017,3819,1,26,348.84,33.803,0.288,946.584,2744,27440
70,Rangamati,824,2018,4125,1,29,444.96,43.117,0.225,1122.322,3149,31490
71,Sylhet,771,2009,3287,2,195,416.34,40.343,0.287,290.67,2075,20750
72,Sylhet,710,2010,4939,2,220,383.4,37.151,0.24,276.765,1611,16110
73,Sylhet,823,2011,3101,3,213,444.42,43.064,0.24,235.07,2319,23190
74,Sylhet,735,2012,4610,4,198,396.9,38.46,0.273,227.999,1972,19720
75,Sylhet,678,2013,3825,3,209,366.12,35.477,0.208,254.012,1957,19570
76,Sylhet,631,2014,3372,2,216,340.74,33.018,0.217,213.866,1810,18100
77,Sylhet,734,2015,4521,2,223,396.36,38.407,0.258,189.606,2015,20150
78,Sylhet,845,2016,4291,4,201,456.3,44.215,0.229,695.221,2847,28470
